序号,股票代码,公司名称,核心赛道,营收增速得分(25%),毛利率得分(20%),研发投入得分(20%),估值水平得分(20%),国产替代空间得分(15%),综合得分,投资评级,2026E_PE,2026E_营收增速,2026E_净利润增速,目标价,预期收益率
1,300054,鼎龙股份,CMP抛光材料+光刻胶,95,90,95,75,95,90.5,买入,39,36.7%,68.0%,65元,44%
2,688019,安集科技,CMP抛光液,90,95,85,70,90,87.0,买入,43,36.0%,41.9%,320元,39%
3,300346,南大光电,ArF光刻胶,85,85,95,55,100,82.5,买入,62,37.8%,51.5%,58元,45%
4,300666,江丰电子,溅射靶材,85,80,80,65,95,80.5,买入,57,28.1%,73.2%,220元,38%
5,603078,江化微,湿电子化学品,85,80,70,80,85,80.0,买入,43,34.4%,50.0%,65元,44%
6,688268,华特气体,电子特气,75,75,80,85,85,79.5,买入,48,28.0%,35.0%,128元,32%
7,002409,雅克科技,半导体材料综合平台,80,85,75,75,80,79.0,买入,35,25.0%,32.0%,88元,30%
8,688106,金宏气体,综合气体服务,70,70,65,90,80,75.0,买入,40,22.0%,28.0%,52元,28%
9,603650,彤程新材,KrF光刻胶平台,65,80,75,70,90,75.5,持有,45,20.0%,25.0%,48元,22%
10,300236,上海新阳,电镀+清洗+光刻胶,75,75,85,55,85,74.0,持有,61,34.2%,42.9%,55元,22%
11,603306,华懋科技,光刻胶平台,70,70,85,60,95,75.5,持有,55,30.0%,40.0%,45元,25%
12,300655,晶瑞电材,湿电子化学品+光刻胶,70,70,70,75,80,72.5,持有,42,25.0%,30.0%,32元,20%
13,603931,格林达,显影液龙头,65,75,60,85,75,71.5,持有,38,20.0%,25.0%,42元,18%
14,688650,中巨芯,湿电子化学品平台,75,70,70,65,80,72.0,持有,50,32.0%,38.0%,18元,20%
15,002407,多氟多,电子级氢氟酸,65,65,65,85,75,70.5,持有,25,18.0%,22.0%,28元,15%
16,600141,兴发集团,磷化工+电子级化学品,60,70,60,95,70,70.0,持有,15,12.0%,18.0%,38元,15%
17,600206,有研新材,靶材+稀土材料,60,65,70,80,75,69.5,持有,40,22.0%,28.0%,22元,18%
18,688126,沪硅产业,大硅片,80,50,85,45,95,68.5,持有,85,35.0%,扭亏,32元,15%
19,300XXX,标的A,边缘材料,50,55,55,70,60,57.5,卖出,60,8.0%,5.0%,NA,-5%
20,002XXX,标的B,低端材料,45,60,50,65,55,54.5,卖出,55,5.0%,-2.0%,NA,-10%
