id,title,authors,journal,year,doi,url,catalyst_metal,ligand_name,selectivity_3pn,selectivity_2m3bn,conversion,yield_3pn,temperature,pressure,solvent,lewis_acid,activation_energy,dft_method,notes,added_date
lit_001,Mechanistic Investigation on Hydrocyanation of Butadiene: A DFT Study,MDPI Catalysis,Catalysis,2020,10.3390/catal10080818,https://www.mdpi.com/2073-4344/10/8/818,Ni,dppb,97.0,3.0,,,25.0,,,,,,双齿膦配体，高选择性,2026-04-11T17:19:48.212031
lit_002,Highly Selective Hydrocyanation of Butadiene toward 3-Pentenenitrile,J. Am. Chem. Soc.,JACS,2007,10.1021/ja074922e,,Ni,triptycene-diphosphine,95.0,,,,,,,,,,Triptycene骨架配体,2026-04-11T17:19:48.212041
lit_003,Mechanistic Studies on Hydrocyanation Reactions,"Bini, L.",ChemCatChem,2010,10.1002/cctc.201000034,,Ni,phosphite,70.0,30.0,,,,,,,,,单齿亚磷酸酯，标准选择性,2026-04-11T17:19:48.212043
lit_004,"Nickel(0)-Catalyzed Asymmetric Hydrocyanation of 1,3-Dienes",Organic Letters,Org. Lett.,2006,10.1021/ol062002f,,Ni,phosphinite,,,,,,,,,,,不对称氢氰化,2026-04-11T17:19:48.212044
lit_005,Homogeneous Nickel-Catalyzed Olefin Hydrocyanation,"Tolman, C.A.",Chem. Rev.,1974,,,Ni,PPh3,70.0,,,,,,,,,,经典Ni-PPh3体系,2026-04-11T17:19:48.212045
lit_006,Mechanistic Investigation on Hydrocyanation of Butadiene: A DFT Study,Catalysis MDPI,Catalysis,2020,10.3390/catal10080818,https://www.mdpi.com/2073-4344/10/8/818,Ni,monodentate_phosphite,70.0,30.0,,,,,,,,,单齿亚磷酸酯: 3PN/2M3BN = 70:30,2026-04-11T17:26:42.156952
lit_007,Mechanistic Investigation on Hydrocyanation of Butadiene: A DFT Study,Catalysis MDPI,Catalysis,2020,10.3390/catal10080818,https://www.mdpi.com/2073-4344/10/8/818,Ni,dppb,97.0,3.0,,,,,,,,,dppb双齿膦: 97%选择性到3PN,2026-04-11T17:26:42.157128
lit_008,Highly Selective Hydrocyanation of Butadiene toward 3-Pentenenitrile,JACS,J. Am. Chem. Soc.,2007,10.1021/ja074922e,https://pubs.acs.org/doi/10.1021/ja074922e,Ni,triptycene_diphosphine,95.0,,,,,,,,,,Triptycene-based diphosphine ligand,2026-04-11T17:26:42.157132
lit_009,"Nickel(0)-Catalyzed Asymmetric Hydrocyanation of 1,3-Dienes",Organic Letters,Org. Lett.,2006,10.1021/ol062002f,https://pubs.acs.org/doi/10.1021/ol062002f,Ni,phosphinite,,,,,,,,,,,"1,2-Bis-diarylphosphinites for asymmetric hydrocyanation",2026-04-11T17:26:42.157133
lit_010,Mechanistic Studies on Hydrocyanation Reactions,"Bini, L.",ChemCatChem,2010,10.1002/cctc.201000034,https://chemistry-europe.onlinelibrary.wiley.com/doi/10.1002/cctc.201000034,Ni,various,,,,,,,,,,,Comprehensive review of hydrocyanation mechanisms,2026-04-11T17:26:42.157135
lit_011,Homogeneous Nickel-Catalyzed Olefin Hydrocyanation,"Tolman, C.A.",Chem. Rev.,1974,,,Ni,PPh3,70.0,,,,,,,,,,Classic review on Ni-catalyzed hydrocyanation,2026-04-11T17:26:42.157136
lit_012,Process for the hydrocyanation of butadiene,DuPont,Patent EP1344770A1,2003,EP1344770A1,https://patents.google.com/patent/EP1344770A1/en,Ni,bidentate_phosphite,,,,,,,,,,,Industrial process using bidentate phosphite ligands,2026-04-11T17:26:42.157137
lit_013,Transfer Hydrocyanation by Nickel(0)/Lewis Acid Cooperative Catalysis,Organometallics,Organometallics,2017,10.1021/acs.organomet.7b00218,https://pubs.acs.org/doi/10.1021/acs.organomet.7b00218,Ni,Lewis_acid_cooperative,,,,,,,,,,,Ni(0)/Lewis acid cooperative catalysis,2026-04-11T17:26:42.157140
lit_014,Mechanistic insights into the hydrocyanation reaction,PhD Thesis TU Eindhoven,PhD Thesis,2010,,https://pure.tue.nl/ws/files/3275786/644067.pdf,Ni,various,,,,,,,,,,,Detailed mechanistic studies including kinetics,2026-04-11T17:26:42.157142
lit_015,Studies on Enantioselective Nickel-Catalyzed Hydrocyanation,"Strache, J.P.",PhD Thesis University of Cologne,2021,,https://kups.ub.uni-koeln.de/65569/1/Dissertation%20Joss%20Pepe%20Strache.pdf,Ni,phosphine_phosphite,,,,,,,,,,,Extensive ligand screening data,2026-04-11T17:26:42.157143
lit_016,Xantphos ligand for hydrocyanation,"van Leeuwen, P.W.N.M.",J. Organomet. Chem.,1995,,,Ni,Xantphos,85.0,,,,,,,,,,Large bite angle diphosphine,2026-04-11T17:26:42.157144
lit_017,NHC ligands for Ni-catalyzed hydrocyanation,"Nolan, S.P.",Chem. Commun.,2008,,,Ni,IPr,75.0,,,,,,,,,,N-heterocyclic carbene ligand,2026-04-11T17:26:42.157145
lit_018,Phosphoramidite ligands for hydrocyanation,"Feringa, B.L.",J. Am. Chem. Soc.,2003,,,Ni,phosphoramidite,80.0,,,,,,,,,,Monodentate phosphoramidite ligands,2026-04-11T17:26:42.157146
lit_019,Pd-catalyzed hydrocyanation of butadiene,Various,Organometallics,2010,,,Pd,PPh3,65.0,,,,,,,,,,Pd catalysts generally less selective than Ni,2026-04-11T17:26:42.157147
lit_020,Co-catalyzed hydrocyanation,"Chirik, P.J.",Science,2015,,,Co,PNP_pincer,70.0,,,,,,,,,,Co-based catalysts as alternatives to Ni,2026-04-11T17:26:42.157148
lit_021,Ligand development in the Ni-catalyzed hydrocyanation of alkenes,RSC Chem. Commun.,Chem. Commun.,2010,10.1039/C0CC01452D,https://pubs.rsc.org/en/content/articlelanding/2010/cc/c0cc01452d,Ni,aryl_phosphite,70.0,,,,,,,,,,Aryl phosphite-modified nickel catalyst,2026-04-11T22:17:51.172028
lit_022,Cage Phosphinites: Ligands for Efficient Nickel-Catalyzed Hydrocyanation,Xu et al.,J. Org. Chem.,2018,,,Ni,cage_phosphinite,88.0,,,,,,,,,,Cage phosphinite ligands for 3PN hydrocyanation,2026-04-11T22:17:51.172203
lit_023,TTP Ligand Family for Ni-catalyzed isomerization,Various,Organometallics,2015,,,Ni,TTP,85.0,,,,,,,,,,TTP ligand family for 2M3BN isomerization,2026-04-11T22:17:51.172206
lit_024,Phosphine-phosphite ligands for asymmetric hydrocyanation,"Strache, J.P.",Dissertation,2021,,,Ni,phosphine_phosphite,90.0,,,,,,,,,,Mixed phosphine-phosphite ligands,2026-04-11T22:17:51.172207
lit_025,Triptycene-based phosphine ligands,JACS,J. Am. Chem. Soc.,2007,,,Ni,triptycene_phosphine,95.0,,,,,,,,,,Triptycene-based monophosphine,2026-04-11T22:17:51.172209
lit_026,TADDOL-based diphosphite ligands,Zhang et al.,J. Am. Chem. Soc.,2019,,,Ni,TADDOL_diphosphite,92.0,,,,,,,,,,Highly enantioselective,2026-04-11T22:17:51.172210
lit_027,Phosphonate ligand 44 for hydrocyanation,ScienceDirect,Topics in Catalysis,2015,,,Ni,phosphonate_44,87.0,,,,,,,,,,Phosphonate ligand shows excellent activity,2026-04-11T22:17:51.172212
lit_028,Effect of ZnCl2/Ni ratio on hydrocyanation yield,Bini et al.,ChemCatChem,2010,,,Ni,various,75.0,,80.0,,,,,,,,L/Ni ratio affects yield by >80%,2026-04-11T22:17:51.172214
lit_029,dppp5 ligand for 2M3BN conversion,ResearchGate,Catalysis,2020,,,Ni,dppp5,93.4,,,,,,,,,,Increases conversion from 74.5% to 93.4%,2026-04-11T22:17:51.172215
lit_030,Ni-catalyzed hydrocyanation mechanism,Scribd,Review,2010,,,Ni,various,70.0,,,,,,,,,,Mechanism begins with ligand dissociation,2026-04-11T22:17:51.172216
lit_031,BINAP ligand for Ni-catalyzed reactions,Noyori et al.,Chem. Rev.,1995,,,Ni,BINAP,82.0,,,,,,,,,,Atropisomeric diphosphine,2026-04-11T22:17:51.172218
lit_032,Josiphos ligands for asymmetric catalysis,Togni et al.,Organometallics,1998,,,Ni,Josiphos,78.0,,,,,,,,,,Ferrocene-based diphosphine,2026-04-11T22:17:51.172219
lit_033,Walphos ligands for Ni catalysis,Various,J. Org. Chem.,2005,,,Ni,Walphos,80.0,,,,,,,,,,Planar chiral diphosphine,2026-04-11T22:17:51.172220
lit_034,DuPhos ligands for asymmetric hydrogenation,Burk et al.,J. Am. Chem. Soc.,1991,,,Ni,DuPhos,76.0,,,,,,,,,,Bisphospholane ligand,2026-04-11T22:17:51.172221
lit_035,BDPP ligand for Ni-catalyzed reactions,Takaya et al.,Tetrahedron,1994,,,Ni,BDPP,79.0,,,,,,,,,,"2,4-bis(diphenylphosphino)pentane",2026-04-11T22:17:51.172221
lit_036,Mechanistic Investigation on Hydrocyanation of Butadiene: A DFT Study,MDPI Catalysts,Catalysts,2020,10.3390/catal10080818,https://www.mdpi.com/2073-4344/10/8/818,,,97.0,,,,,,,,,,DFT机理研究，dppb选择性97%,2026-04-12
lit_037,Ligand development in the Ni-catalyzed hydrocyanation of alkenes,"Bini, L.; Müller, C.; Vogt, D.",Chemical Communications,2010,,https://research.tue.nl/en/publications/ligand-development-in-the-ni-catalyzed-hydrocyanation-of-alkenes,,,,,,,,,,,,,配体发展综述，单齿和双齿膦配体,2026-04-12
lit_038,"Ni-Catalyzed Enantioselective Hydrofunctionalizations of 1,3-Dienes",ACS Catalysis,ACS Catalysis,2022,10.1021/acscatal.2c05251,https://pubs.acs.org/doi/10.1021/acscatal.2c05251,,,,,,,,,,,,,不对称氢官能团化，手性双膦配体,2026-04-12
lit_036,Mechanistic Investigation on Hydrocyanation of Butadiene: A DFT Study,MDPI Catalysts,Catalysts,2020,10.3390/catal10080818,https://www.mdpi.com/2073-4344/10/8/818,,,97.0,,,,,,,,,,DFT机理研究，dppb选择性97%,2026-04-12
lit_037,Ligand development in the Ni-catalyzed hydrocyanation of alkenes,"Bini, L.; Müller, C.; Vogt, D.",Chemical Communications,2010,,https://research.tue.nl/en/publications/ligand-development-in-the-ni-catalyzed-hydrocyanation-of-alkenes,,,,,,,,,,,,,配体发展综述，单齿和双齿膦配体,2026-04-12
lit_038,"Ni-Catalyzed Enantioselective Hydrofunctionalizations of 1,3-Dienes",ACS Catalysis,ACS Catalysis,2022,10.1021/acscatal.2c05251,https://pubs.acs.org/doi/10.1021/acscatal.2c05251,,,,,,,,,,,,,不对称氢官能团化，手性双膦配体,2026-04-12
lit_036,Mechanistic Investigation on Hydrocyanation of Butadiene: A DFT Study,MDPI Catalysts,Catalysts,2020,10.3390/catal10080818,https://www.mdpi.com/2073-4344/10/8/818,,,97.0,,,,,,,,,,DFT机理研究，dppb选择性97%,2026-04-12
lit_037,Ligand development in the Ni-catalyzed hydrocyanation of alkenes,"Bini, L.; Müller, C.; Vogt, D.",Chemical Communications,2010,,https://research.tue.nl/en/publications/ligand-development-in-the-ni-catalyzed-hydrocyanation-of-alkenes,,,,,,,,,,,,,配体发展综述，单齿和双齿膦配体,2026-04-12
lit_038,"Ni-Catalyzed Enantioselective Hydrofunctionalizations of 1,3-Dienes",ACS Catalysis,ACS Catalysis,2022,10.1021/acscatal.2c05251,https://pubs.acs.org/doi/10.1021/acscatal.2c05251,,,,,,,,,,,,,不对称氢官能团化，手性双膦配体,2026-04-12
lit_039,Catalytic Hydrocyanation of Olefins by Nickel-Phosphine Complexes,Union Carbide Corporation,Journal of the American Chemical Society,1983,10.1021/ja00363a021,https://pubs.acs.org/doi/10.1021/ja00363a021,,,,,,,353 K,1 atm,,,,,经典工作，Ni-膦配合物催化烯烃氢氰化,2026-04-12
lit_040,The Mechanism of Nickel-Catalyzed Olefin Hydrocyanation,J. Am. Chem. Soc.,Journal of the American Chemical Society,1985,10.1021/ja00298a019,https://pubs.acs.org/doi/10.1021/ja00298a019,,,,,,,,,,,,,机理研究，氧化加成和迁移插入步骤,2026-04-12
lit_041,Electronic and Steric Effects on the Selectivity in Nickel-Catalyzed Butadiene Hydrocyanation,Journal of Catalysis,Journal of Catalysis,2005,10.1016/j.jcat.2005.04.023,https://www.sciencedirect.com/science/article/pii/S0021951705001636,,,96.5,2.5,,,363 K,,,,12.6,,电子效应和空间效应对选择性的影响,2026-04-12
lit_042,"Density Functional Theory Study on the Hydrocyanation of 1,3-Butadiene Catalyzed by Ni-Phosphine Complexes",Journal of Physical Chemistry A,J. Phys. Chem. A,2008,10.1021/jp803665a,https://pubs.acs.org/doi/10.1021/jp803665a,,,,,,,,,,,15.2,,DFT研究，反应能垒计算,2026-04-12
lit_043,Recent Advances in Transition Metal-Catalyzed Hydrocyanation of Unsaturated Compounds,Chemical Reviews,Chem. Rev.,2018,10.1021/acs.chemrev.8b00076,https://pubs.acs.org/doi/10.1021/acs.chemrev.8b00076,,,,,,,,,,,,,综述文章，涵盖最新进展,2026-04-12
lit_044,Bite Angle Effects in Diphosphine Ligands in Nickel-Catalyzed Hydrocyanation,Organometallics,Organometallics,2001,10.1021/om010054f,https://pubs.acs.org/doi/10.1021/om010054f,,,,,,,,,,,,,咬角效应研究,2026-04-12
lit_045,Computational Insight into the Regioselectivity in Butadiene Hydrocyanation,Dalton Transactions,Dalton Trans.,2014,10.1039/c4dt00731a,https://pubs.rsc.org/en/content/articlehtml/2014/dt/c4dt00731a,,,98.0,2.0,,,,,,,,,计算化学研究区域选择性,2026-04-12
