# Macmini文件共享项目资源配置评估数据收集清单

> 任务: 评估同Macmini文件共享项目资源配置是否充足并提出调整建议
> 附件类型: 数据收集清单
> 生成时间: 2026-05-05 15:19

# 同Macmini文件共享项目资源配置充足性评估数据收集清单
## 版本信息
| 项目名称       | 同Macmini文件共享项目资源配置评估       | 文档编号       | XX-SY-PZ-202X0XXXXX-01       |
|----------------|------------------------------------------|----------------|-------------------------------|
| 评估周期       | 202X年XX月XX日—202X年XX月XX日            | 编制人         | [执行团队负责人姓名/工号]     |
| 审批人         | [项目/技术/运维总监姓名/工号]             | 发布日期       | 202X年XX月XX日                |

## 一、项目概述与目标信息收集项
### 1.1 项目基本属性
| 收集项                     | 数据来源                          | 格式要求                          | 详细说明/示例                                                                 |
|----------------------------|-----------------------------------|-----------------------------------|-----------------------------------------------------------------------------|
| 项目正式名称                | 项目立项书/内部管理系统            | 文本                              | 需明确区分生产/测试/开发环境的同项目不同副本，如「生产环境-同Macmini设计团队文件共享平台」 |
| 项目上线日期与运行时长      | 运维台账/内部管理系统/网络日志     | 日期（YYYY-MM-DD）+ 月数/年数     | 示例：2021-10-25，运行时长32个月                                              |
| 项目所属部门/业务线         | 内部管理系统/项目负责人访谈        | 文本                              | 示例：设计与研发中心-UI/UX设计部                                             |
| 核心业务功能定位            | 项目需求文档/用户手册/负责人访谈    | 结构化文本（1-3条核心功能）        | 示例：1. 存储并共享设计源文件（PSD/AI/SVG/视频剪辑素材）；2. 支持版本控制查询（通过Finder原生标签/第三方插件）；3. 提供部门间素材临时分享的访客权限 |
| 文件共享的存储总量规划      | 项目需求文档/负责人访谈            | 数字（TB/GB）                     | 需包含初始规划值、当前扩容后的累积值、是否有未使用的预留容量，示例：初始10TB，当前18TB，预留2TB待启用 |
| 文件共享的可用性要求        | 项目需求文档/负责人访谈/服务协议    | 结构化文本（SLA参数）              | 示例：生产环境要求99.9%的月可用性，即每月不可用时间≤43.8分钟                    |
| 文件共享的安全性要求        | 安全合规文档/负责人访谈/防火墙配置  | 结构化文本（权限/加密/审计要求）    | 示例：1. 支持按部门/角色/项目组的三级访问控制；2. 内部传输加密（AFP/SMB3.1.1 AES-128/256）；3. 对外访客访问需通过VPN+OTP验证；4. 关键操作（删除/重命名/权限变更）需保留6个月审计日志 |

### 1.2 历史资源调整记录
| 收集项                     | 数据来源                          | 格式要求                          | 详细说明/示例                                                                 |
|----------------------------|-----------------------------------|-----------------------------------|-----------------------------------------------------------------------------|
| 历次CPU/内存/存储/网络扩容记录 | 运维台账/采购合同/资产变更系统      | 表格（日期、调整项、调整前值、调整后值、调整原因） | 需包含所有调整的完整信息，示例：2022-06-10，存储扩容，10TB→14TB，设计团队新增3D建模项目，源文件体积激增；2023-03-05，内存扩容，16GB→32GB，并发访问人数从25人上升至42人，Finder标签搜索卡顿严重 |
| 历次性能优化措施记录       | 运维日志/技术工单系统              | 表格（日期、优化项、优化前问题、优化后的效果）    | 示例：2022-12-01，优化SMB协议配置，调整max_open_files参数至10000，优化前文件批量传输失败率达12%，优化后降至0.2% |

---

## 二、当前硬件资源配置明细表
### 2.1 Macmini主机核心硬件
| 收集项                     | 数据来源                          | 格式要求                          | 详细说明/示例                                                                 |
|----------------------------|-----------------------------------|-----------------------------------|-----------------------------------------------------------------------------|
| Macmini型号与CPU参数        | 系统报告（Apple菜单→关于本机→系统报告→硬件→处理器）/序列号查询（https://checkcoverage.apple.com/cn/zh） | 结构化文本                        | 型号示例：Mac mini (M1, 2020)；CPU参数示例：Apple M1 芯片，8核（4性能核+4能效核），基础频率3.2GHz，无睿频功能（ARM架构） |
| 内存容量与类型              | 系统报告→硬件→内存                | 结构化文本                        | 容量示例：32GB；类型示例：LPDDR4X，2667MHz，板载内存（不可升级）                |
| 内部存储配置                | 系统报告→硬件→存储                | 表格（存储介质类型、品牌/型号（如有）、容量、已用/可用空间、文件系统格式、是否启用RAID） | 示例：介质类型：NVMe SSD；品牌/型号：SK Hynix HFS31T2G881N 1TB×2；容量：2TB；已用/可用：1.8TB/0.2TB；文件系统：APFS加密；RAID：已启用RAID 0（提升读写速度） |
| 外部扩展存储配置            | 系统报告→硬件→存储→外部存储/磁盘工具（Disk Utility） | 表格（存储介质类型、品牌/型号、接口类型/速率、容量、已用/可用空间、文件系统格式、连接方式（直连/Thunderbolt Dock/USB Hub）、挂载点路径、是否启用RAID） | 需包含所有与文件共享功能直接关联的外部存储，临时备份盘不计入，示例：介质类型：HDD；品牌/型号：西部数据My Book Duo 18TB；接口类型/速率：Thunderbolt 3（40Gbps）；容量：18TB；已用/可用：16TB/2TB；文件系统：APFS加密；连接方式：直连Macmini Thunderbolt 3端口1；挂载点：/Volumes/DesignFiles-Share；RAID：已启用RAID 1（提升可靠性） |

### 2.2 网络硬件配置
| 收集项                     | 数据来源                          | 格式要求                          | 详细说明/示例                                                                 |
|----------------------------|-----------------------------------|-----------------------------------|-----------------------------------------------------------------------------|
| Macmini网络接口类型与速率    | 系统报告→硬件→网络→以太网/Thunderbolt网桥/Wi-Fi 6E | 结构化文本                        | 需明确用于文件共享的主副网络接口，示例：主接口：千兆以太网（1000BASE-T），已连接至公司核心交换机（Cisco Catalyst 9300）；副接口：Thunderbolt 3网桥（40Gbps），已连接至设计部内部高速交换机（Cisco Catalyst 9200X）；Wi-Fi 6E已禁用，仅用于紧急维护 |
