公司名称,成立时间,上市情况,2025年营收,员工规模,人均营收,主要收入来源,商业模式,核心技术,代表客户
晶泰科技,2015,港交所上市,8.03亿元人民币,1500人,53.5万元/人,平台授权40%+联合开发50%+里程碑10%,平台+联合开发+里程碑,AI+自动化实验机器人,礼来、默沙东等前20大药企18家
Schrödinger,1990,纳斯达克SDGR,2.559亿美元,800人,32万美元/人,软件60%+药物发现合作40%,计算软件+管线双轮,物理模型+AI融合,全球Top药企
Recursion Pharmaceuticals,2013,纳斯达克RXRX,7470万美元,500人,15万美元/人,战略合作90%+其他10%,规模化生物筛选+AI,自动化实验+预测模型,Sanofi、Roche
Citrine Informatics,2013,私有,1210万美元,68人,17.8万美元/人,SaaS订阅95%,材料科学SaaS,材料数据管理+AI建模,巴斯夫、宁德时代等
Isomorphic Labs,2021,私有,约1.55亿美元,200人,77.5万美元/人,战略合作90%+授权10%,技术授权+战略合作,AlphaFold系列,礼来、诺华
Insilico Medicine,2014,港交所,未披露,未披露,未披露,合作+自研管线,端到端AI药物发现,Pharma.AI平台,多家跨国药企
深势科技,2018,私有,未披露,未披露,未披露,SaaS+解决方案,双轮驱动,DP系列算法,多个行业龙头
Absci,2011,纳斯达克ABSI,未披露,未披露,未披露,战略合作,AI抗体设计,Integrated Drug Creation平台,AMD、Almirall
Exscientia,2012,被收购,未披露,未披露,未披露,战略合作,AI小分子设计,自动化精准化学,被Recursion收购
Atomwise,2012,私有,未披露,未披露,未披露,合作+授权,AI虚拟筛选,AtomNet技术,多家药企

数据来源说明,
营收数据,公司财报、官方新闻稿、行业估算
员工数据,LinkedIn、公司公告、媒体报道
商业模式,公司官网、投资者介绍、行业分析
核心技术,技术白皮书、论文、官方介绍
代表客户,客户案例、新闻稿、合作公告
