会议,大致投稿窗口/动作期,会议层级,适配方向,优先级,备注
NeurIPS 2026,2026H2 重点关注结果传播与Workshop；同步准备2027周期,AI顶会,科学机器学习/基础模型/优化,5,上半年常投稿，下半年适合扩散影响
AAAI 2027,预计2026夏末-秋季,AI顶会,知识推理/AI4Science/应用系统,5,2026H2重点窗口
ICLR 2027,预计2026Q3-Q4,AI顶会,表征学习/预训练/生成模型,5,适合基础模型
WACV 2027,预计2026H2,强会,显微图像/谱图视觉/多模态,3,适合材料表征图像
EMNLP 2026,2026H2 主会传播与findings/workshop布局,NLP顶会,科学文献/科研助手/知识抽取,4,适合Scientific LLM
KDD 2027,2026H2 立项储备,数据挖掘顶会,产业数据库/知识图谱/推荐,4,强调大规模数据
ICML 2027,2026H2 倒排立项,ML顶会,不确定性/优化/主动学习,5,适合方法严谨型工作
MRS Fall 2026,2026H2召开，摘要通常提前,材料国际会议,AI+材料/实验闭环/平台,5,圈内影响力关键
ACS Fall 2026 / Spring 2027,按分会场摘要节奏准备,化学重要会议,化学信息学/配方优化/基础模型,4,适合化学圈扩散
AI4Science/AI4Mat Workshop,依附主会，滚动关注征稿,交叉Workshop,Agent/Benchmark/Dataset,5,声量放大器
