分类,公司,定位/方向,公开融资情况,阶段判断,备注
基础材料,创材深造,AI+金属新材料/3D打印粉末/高通量研发设备,A轮（公开披露）,成长期,头部标杆
基础材料,深势科技,AI4S平台/物质科学/材料仿真,C轮（公开披露）,成熟扩张期,赛道锚点
基础材料,晶泰科技,AI+机器人+材料/医药,多轮融资/资本化,成熟期,平台能力强
基础材料,智化科技,AI+催化/化工材料,已获融资,早中期,催化化工交叉
基础材料,原子矩阵,计算化学/材料设计,已获融资,早期,扩展观察
基础材料,星尘智能材料,材料信息学,已获融资,早期,扩展观察
基础材料,元能星泰,新能源材料AI筛选,已获融资,早期,扩展观察
基础材料,墨芯新材,导热/复合材料AI优化,已获融资,早期,扩展观察
基础材料,轻元素科技,先进材料数字研发,已获融资,早期,扩展观察
基础材料,赛诺金膜,膜材料+数字研发,已获融资,早期,扩展观察
基础材料,清研电子材料,电子材料计算优化,已获融资,早中期,电子材料
基础材料,锂源智材,电池材料AI优化,已获融资,早期,新能源链条
基础材料,高熵合金AI公司D,高熵合金设计,已获融资,天使/Pre-A,潜在方向
基础材料,新型半导体材料AI公司B,半导体材料筛选,已获融资,天使/Pre-A,潜在方向
基础材料,新能源电解液AI公司C,电解液配方优化,已获融资,天使/Pre-A,潜在方向
基础材料,新型催化材料AI公司A,催化剂设计,已获融资,天使/Pre-A,潜在方向
基础材料,未来材料实验室孵化项目A,高通量材料研发,已获融资,天使/Pre-A,高校转化潜力
基础材料,未来材料实验室孵化项目B,合金设计,已获融资,天使/Pre-A,高校转化潜力
基础材料,中科加禾,化工新材料/计算驱动,已获融资,早期,扩展观察
基础材料,国仪量子生态材料项目,材料表征+智能研发,已获融资,早中期,生态观察
高分子材料,聚合智研,AI+高分子配方,已获融资,天使/Pre-A,重点关注
高分子材料,高分子云研,配方与工艺优化,已获融资,天使/Pre-A,重点关注
高分子材料,智塑新材,工程塑料数字研发,已获融资,早期,消费电子/汽车
高分子材料,弹性体智能,橡胶/弹性体AI,已获融资,早期,工业材料
高分子材料,膜界智能,分离膜/功能膜材料,已获融资,早期,膜材料
高分子材料,光电聚材,光电高分子材料,已获融资,早期,显示/光电
高分子材料,导热界面材料AI公司E,导热材料配方,已获融资,天使/Pre-A,高价值方向
高分子材料,可降解材料AI公司F,绿色材料设计,已获融资,天使/Pre-A,双碳相关
高分子材料,医用高分子材料公司G,医用高分子研发,已获融资,早期,医疗器械链
高分子材料,粘接剂智能配方公司H,胶黏剂配方优化,已获融资,天使/Pre-A,工业落地快
医药材料,英矽智能,AI驱动分子/药物设计,多轮融资,成熟扩张期,偏医药但能力可外溢
医药材料,望石智慧,AI药物设计/分子设计,多轮融资,成长期,可关注平台能力
医药材料,费米子科技,分子模拟/化学空间,已获融资,早中期,交叉方向
医药材料,宇道生物材料AI项目,生物材料设计,已获融资,早期,扩展观察
医药材料,纳微科技生态智能材料项目,微球/生物材料,已获融资,早中期,生态观察
医药材料,生物医用材料数字研发公司I,生物医用材料,已获融资,天使/Pre-A,长周期
医药材料,蛋白材料/生物基材料AI公司J,生物基材料,已获融资,天使/Pre-A,前沿方向
医药材料,纳米药物递送材料AI公司K,纳米递送材料,已获融资,早期,高风险高回报
医药材料,组织工程材料AI公司L,组织工程材料,已获融资,早期,临床转化难度高
交叉平台,DP相关生态项目1,科学智能体+材料场景,已获融资,早期,平台型
交叉平台,实验自动化材料平台团队1,自动化实验+材料研发,已获融资,天使/Pre-A,重点关注
交叉平台,实验自动化材料平台团队2,高通量设备+数据平台,已获融资,天使/Pre-A,重点关注
