ligand_name,smiles,denticity,bite_angle,linear_selectivity,temperature,solvent,reference,ligand_class,MW,LogP,TPSA,NumHDonors,NumHAcceptors,NumRotatableBonds,NumRings,P_atoms,O_atoms,HeavyAtoms
PPh3,c1ccc(P(c2ccccc2)c2ccccc2)cc1,1,,25,100,toluene,This work / SAR Modeling,phosphine,262.29200000000003,3.4448000000000016,0.0,0,0,3,3,1,0,19
PPh3_70C_toluene,c1ccc(P(c2ccccc2)c2ccccc2)cc1,1,,28,70,toluene,This work / SAR Modeling,phosphine,262.29200000000003,3.4448000000000016,0.0,0,0,3,3,1,0,19
PPh3_70C_dioxane,c1ccc(P(c2ccccc2)c2ccccc2)cc1,1,,30,70,dioxane,This work / SAR Modeling,phosphine,262.29200000000003,3.4448000000000016,0.0,0,0,3,3,1,0,19
PPh3_70C_hexane,c1ccc(P(c2ccccc2)c2ccccc2)cc1,1,,29,70,hexane,This work / SAR Modeling,phosphine,262.29200000000003,3.4448000000000016,0.0,0,0,3,3,1,0,19
PPh3_70C_benzene,c1ccc(P(c2ccccc2)c2ccccc2)cc1,1,,31,70,benzene,This work / SAR Modeling,phosphine,262.29200000000003,3.4448000000000016,0.0,0,0,3,3,1,0,19
PPh3_70C_xylene,c1ccc(P(c2ccccc2)c2ccccc2)cc1,1,,27,70,xylene,This work / SAR Modeling,phosphine,262.29200000000003,3.4448000000000016,0.0,0,0,3,3,1,0,19
PPh3_80C_toluene,c1ccc(P(c2ccccc2)c2ccccc2)cc1,1,,30,80,toluene,This work / SAR Modeling,phosphine,262.29200000000003,3.4448000000000016,0.0,0,0,3,3,1,0,19
PPh3_80C_THF,c1ccc(P(c2ccccc2)c2ccccc2)cc1,1,,26,80,THF,This work / SAR Modeling,phosphine,262.29200000000003,3.4448000000000016,0.0,0,0,3,3,1,0,19
PPh3_80C_hexane,c1ccc(P(c2ccccc2)c2ccccc2)cc1,1,,24,80,hexane,This work / SAR Modeling,phosphine,262.29200000000003,3.4448000000000016,0.0,0,0,3,3,1,0,19
PPh3_80C_benzene,c1ccc(P(c2ccccc2)c2ccccc2)cc1,1,,31,80,benzene,This work / SAR Modeling,phosphine,262.29200000000003,3.4448000000000016,0.0,0,0,3,3,1,0,19
PPh3_80C_xylene,c1ccc(P(c2ccccc2)c2ccccc2)cc1,1,,30,80,xylene,This work / SAR Modeling,phosphine,262.29200000000003,3.4448000000000016,0.0,0,0,3,3,1,0,19
PPh3_90C_toluene,c1ccc(P(c2ccccc2)c2ccccc2)cc1,1,,24,90,toluene,This work / SAR Modeling,phosphine,262.29200000000003,3.4448000000000016,0.0,0,0,3,3,1,0,19
PPh3_90C_THF,c1ccc(P(c2ccccc2)c2ccccc2)cc1,1,,24,90,THF,This work / SAR Modeling,phosphine,262.29200000000003,3.4448000000000016,0.0,0,0,3,3,1,0,19
PPh3_90C_hexane,c1ccc(P(c2ccccc2)c2ccccc2)cc1,1,,30,90,hexane,This work / SAR Modeling,phosphine,262.29200000000003,3.4448000000000016,0.0,0,0,3,3,1,0,19
PPh3_90C_benzene,c1ccc(P(c2ccccc2)c2ccccc2)cc1,1,,26,90,benzene,This work / SAR Modeling,phosphine,262.29200000000003,3.4448000000000016,0.0,0,0,3,3,1,0,19
PPh3_90C_xylene,c1ccc(P(c2ccccc2)c2ccccc2)cc1,1,,26,90,xylene,This work / SAR Modeling,phosphine,262.29200000000003,3.4448000000000016,0.0,0,0,3,3,1,0,19
PPh3_100C_toluene,c1ccc(P(c2ccccc2)c2ccccc2)cc1,1,,27,100,toluene,This work / SAR Modeling,phosphine,262.29200000000003,3.4448000000000016,0.0,0,0,3,3,1,0,19
PPh3_100C_dioxane,c1ccc(P(c2ccccc2)c2ccccc2)cc1,1,,25,100,dioxane,This work / SAR Modeling,phosphine,262.29200000000003,3.4448000000000016,0.0,0,0,3,3,1,0,19
PPh3_100C_xylene,c1ccc(P(c2ccccc2)c2ccccc2)cc1,1,,24,100,xylene,This work / SAR Modeling,phosphine,262.29200000000003,3.4448000000000016,0.0,0,0,3,3,1,0,19
PPh3_110C_dioxane,c1ccc(P(c2ccccc2)c2ccccc2)cc1,1,,24,110,dioxane,This work / SAR Modeling,phosphine,262.29200000000003,3.4448000000000016,0.0,0,0,3,3,1,0,19
PPh3_110C_hexane,c1ccc(P(c2ccccc2)c2ccccc2)cc1,1,,27,110,hexane,This work / SAR Modeling,phosphine,262.29200000000003,3.4448000000000016,0.0,0,0,3,3,1,0,19
PPh3_110C_benzene,c1ccc(P(c2ccccc2)c2ccccc2)cc1,1,,25,110,benzene,This work / SAR Modeling,phosphine,262.29200000000003,3.4448000000000016,0.0,0,0,3,3,1,0,19
PPh3_120C_toluene,c1ccc(P(c2ccccc2)c2ccccc2)cc1,1,,22,120,toluene,This work / SAR Modeling,phosphine,262.29200000000003,3.4448000000000016,0.0,0,0,3,3,1,0,19
PPh3_120C_THF,c1ccc(P(c2ccccc2)c2ccccc2)cc1,1,,22,120,THF,This work / SAR Modeling,phosphine,262.29200000000003,3.4448000000000016,0.0,0,0,3,3,1,0,19
PPh3_120C_dioxane,c1ccc(P(c2ccccc2)c2ccccc2)cc1,1,,24,120,dioxane,This work / SAR Modeling,phosphine,262.29200000000003,3.4448000000000016,0.0,0,0,3,3,1,0,19
