# 目标客户跟进记录模板

> 任务: 整理2026年Q1 12个目标客户跟进记录并更新销售漏斗
> 附件类型: 数据录入模板
> 生成时间: 2026-05-05 17:09

# 2026年Q1 目标客户跟进记录与销售漏斗更新模板

## 适用范围与使用说明
本模板专为销售团队设计，用于系统化跟踪12个重点目标客户的季度跟进活动，并同步更新销售漏斗状态。模板集成了客户接触点记录、意向评估、漏斗阶段归类和下一步行动规划，确保每个客户的跟进流程透明化、可追溯。使用者应为销售经理、客户经理或相关BD人员，建议每周更新一次，并在季度末汇总为销售漏斗报告。

## 模板结构总览
| 序号 | 字段名称 | 字段类型 | 必填 | 填写说明 |
|------|----------|----------|------|----------|
| 1 | 客户名称 | 文本 | 是 | 公司全称或简称，确保唯一性 |
| 2 | 跟进日期 | 日期 | 是 | 格式：YYYY-MM-DD |
| 3 | 联系人及职位 | 文本 | 是 | 姓名+职位，例如：张三，采购总监 |
| 4 | 沟通渠道 | 下拉选择 | 是 | 电话 / 邮件 / 会议 / 即时通讯 |
| 5 | 沟通内容摘要 | 长文本 | 是 | 关键讨论点、需求、异议等，不少于30字 |
| 6 | 客户兴趣度 | 下拉选择 | 是 | 高 / 中 / 低 |
| 7 | 销售漏斗阶段 | 下拉选择 | 是 | 线索 / 意向 / 方案 / 谈判 / 成交 |
| 8 | 下一步行动计划 | 文本 | 是 | 具体可执行动作，包括负责人与时间 |
| 9 | 预计下一跟进日期 | 日期 | 是 | 格式：YYYY-MM-DD |
| 10 | 备注 | 文本 | 否 | 风险提示、特殊需求、内部协调事项 |

## 详细字段填写指南

### 1. 客户名称
- **填写规则**：统一使用工商注册名称，避免简写歧义。若为集团子公司，应标注层级关系，例如“华为技术有限公司（云计算事业部）”。
- **示例**：腾讯云科技有限公司；阿里巴巴（中国）网络技术有限公司；字节跳动有限公司（飞书团队）

### 2. 跟进日期
- **填写规则**：每次联系后当天填写，时间统一为北京时间。若为连续多日展会沟通，可记录为展会开始日。
- **示例**：2026-01-15；2026-02-28；2026-03-10

### 3. 联系人及职位
- **填写规则**：优先记录决策人、关键影响人或使用方负责人。若联系多人，按重要性顺序列出，用分号隔开。
- **示例**：李四，技术副总裁；王五，采购经理；赵六，项目总监

### 4. 沟通渠道
- **可选值**：电话 | 邮件 | 会议（线上/线下） | 即时通讯（微信/钉钉/飞书等）
- **最佳实践**：若为跨渠道组合沟通，优先记录主要渠道。例如“邮件+电话”，则选择电话作为主渠道，在备注中补充。

### 5. 沟通内容摘要
- **填写要求**：包括双方核心讨论点、客户提出的具体需求或痛点、我方的产品/方案匹配度、客户对价格、时间、服务的关注点、客户未明确表达但可分析出的潜在兴趣或顾虑。不得仅写“沟通良好”或“了解需求”等模糊描述。
- **示例**：“客户IT总监表示现有系统承载能力不足，希望部署新的分布式存储。我方演示了A1000产品的高可用特性，客户对容灾功能感兴趣，但要求提供32节点以下的单集群方案。对价格未做直接反馈，但提到了友商B的报价比我们低20%。”

### 6. 客户兴趣度
- **高**：客户主动提出下一步邀约、索要详细方案、明确表达采购预算或时间规划，或要求安排POC（概念验证）。
- **中**：客户表现出开放态度，愿意接收资料但未承诺具体行动；或表示需要内部讨论后再决定。
- **低**：客户未回复、回避深入话题、表示当前无需求或项目已暂停。

### 7. 销售漏斗阶段
- **线索**：首次接触或确认客户基本信息，存在潜在需求但未验证。
- **意向**：客户明确表达需求痛点，双方已进行产品/方案介绍，进入初步匹配阶段。
- **方案**：我方提供定制化解决方案或报价，客户正在进行评估或内部审批。
- **谈判**：进入商务条款讨论，包括价格、合同、交付日期、付款方式等。
- **成交**：客户已签署合同或完成采购流程，待实施或交付。

**转换规则**：每次跟进更新时，需评估是否重新归类阶段。例如：客户从“意向”进入“方案”，必须已有明确的方案文档交付或会议演示。

### 8. 下一步行动计划
- **格式**：动作 + 负责人 + 完成日期 + 预期结果。不得写“继续跟进”或“等客户回复”。
- **示例**：“销售王强于3月5日前提交定制方案PPT，并发至客户邮箱；预期客户在3月12日前安排内部评审会议。”

### 9. 预计下一跟进日期
- **填写规则**：基于行动计划中的完成日，预留1-3天缓冲期。若客户明确承诺，以客户约定时间为准。

## 完整示例：12个目标客户数据录入模板

以下为12个目标客户的完整示例数据，覆盖不同行业、阶段与兴趣度水平，供用户参考填写。

### 示例客户1：鸿海精密工业股份有限公司
| 字段 | 内容 |
|------|------|
| 客户名称 | 鸿海精密工业股份有限公司（深圳龙华厂区） |
| 跟进日期 | 2026-01-10 |
| 联系人及职位 | 陈明，智能制造事业部副总经理 |
| 沟通渠道 | 会议（线下） |
| 沟通内容摘要 | 客户计划在Q2启动“灯塔工厂”二期改造，涉及MES系统升级和边缘计算节点部署。我方展示了工业物联网平台与智能质检方案，客户对AI视觉检测模块表现出兴趣，询问了部署周期和兼容性问题。客户表示正在对比三家供应商，要求一周内提供方案书和报价。 |
| 客户兴趣度 | 高 |
| 销售漏斗阶段 | 方案 |
| 下一步行动计划 | 销售李明与售前张华于1月17日前完成定制方案PPT和报价单，通过邮件发送客户，并在1月20日前跟进客户反馈。 |
| 预计下一跟进日期 | 2026-01-22 |
| 备注 | 客户对交期敏感，需标注交付团队确认45天内可上线。竞争对手为西门子和华为，需突出本地化服务优势。 |

### 示例客户2：平安银行股份有限公司
| 字段 | 内容 |
|------|------|
| 客户名称 | 平安银行股份有限公司（总行科技部） |
| 跟进日期 | 2026-01-18 |
| 联系人及职位 | 周婷，科技部副总经理 |
| 沟通渠道 | 电话 |
| 沟通内容摘要 | 客户正在评估新一代数据仓库选型，要求支持AI模型训练和实时分析。我方介绍了Hadoop生态升级方案，客户提出需兼容现有Oracle和MySQL数据库，并且要能对接内部数据中台。周总表示如果方案可行，将安排POC测试团队入场。 |
| 客户兴趣度 | 中 |
