date,steps,exercise_minutes,active_energy,heart_rate_resting,heart_rate_avg,sleep_total,sleep_deep,score_total,score_exercise,score_sleep,score_heart,score_energy
2026-03-26,10373,58,539.7281359509402,60.82923312638332,73.12690434440655,7.567434729152908,1.565262807032524,97.6,100.0,100.0,100,87.8
2026-03-27,6391,22,283.6782372508458,57.26898301235276,63.48993726510066,6.596137778511843,1.8398766493517753,77.0,68.0,86.0,100,53.9
2026-03-28,6659,23,490.25274501918386,61.52236477779172,66.09766149174119,6.019017392362504,1.9171280094857268,77.5,74.0,80.0,100,56.6
2026-03-29,7192,12,275.9247032847607,59.105748658614914,82.63067109876368,5.4913294430836395,1.9816624045443716,67.2,56.0,60.0,100,61.9
2026-03-30,8172,44,396.43137658591314,58.81986395800021,72.54742913160145,5.678510620931587,2.2356797500130603,77.2,83.0,60.0,100,71.3
2026-03-31,14838,47,542.8181227414187,48.09961424218159,80.2379213459034,6.609342527026367,1.876645061405547,89.8,100.0,86.0,70,100.0
2026-04-01,7838,52,343.1711452630681,58.18744998153412,77.55503869108514,7.9240178903435465,1.4779529221225502,89.5,92.0,94.0,100,68.4
2026-04-02,9640,24,315.3623319877637,58.9118183231591,67.01802786276258,7.372145376806878,2.8070984527860547,85.1,74.0,88.0,100,82.3
2026-04-03,16738,43,393.8183009286719,60.220559563123814,63.94536594062703,7.753317913558421,2.2540630661487637,94.9,83.0,100.0,100,100.0
2026-04-04,5774,32,262.7838396238044,52.66668237346538,73.348061940241,7.903800203554238,1.3804965193695915,77.8,77.0,94.0,85,47.7
2026-04-05,12040,11,393.73615065078457,61.25749739152462,78.63346739440497,6.075528166479582,2.1296698089020643,80.8,62.0,74.0,100,100.0
2026-04-06,8889,78,430.0638700137328,54.06123715175572,77.41391852321927,7.865277705879675,2.466538708452171,88.1,92.0,94.0,85,76.7
2026-04-07,8129,31,268.8805055517953,59.24470332012449,74.73963057551263,7.932270578997465,1.8787609837765118,87.3,77.0,100.0,100,71.0
2026-04-08,9813,36,369.0363134923391,61.692832066646375,71.3265514684457,5.514176062244415,1.645068033338371,83.2,83.0,72.0,100,83.6
2026-04-09,9427,41,213.99497395552805,60.94484407809689,75.94230211236867,8.220312814463197,1.163019697435789,85.6,77.0,88.0,100,80.7
2026-04-10,14635,67,473.2234218639444,57.54633693028407,77.21119406090108,6.891340462922991,1.635184137389721,93.4,92.0,86.0,100,100.0
2026-04-11,10494,35,237.0826137881334,55.46533049401915,76.36403353621273,7.812003047693013,1.9200011690160086,90.8,77.0,100.0,100,88.7
2026-04-12,9642,21,322.2004186153637,61.06460857561731,77.53253143851197,7.254543694128065,1.651070560603295,88.7,74.0,100.0,100,82.3
2026-04-13,17581,31,421.4300172571796,64.4665620244652,65.41381535382052,8.029112096635098,1.4167268500636163,93.1,83.0,94.0,100,100.0
2026-04-14,8504,50,480.6021963135022,65.0843571586181,59.73019071212962,7.241547821550827,1.3921645671928393,87.6,92.0,94.0,85,73.8
2026-04-15,12644,74,245.40843498980323,68.12359394370125,55.671841503581234,7.880871686916881,2.069862329458684,92.8,86.0,100.0,85,100.0
2026-04-16,9320,65,429.19725019679436,61.74234634971477,74.80096330410177,6.676606286989243,2.3258020787409452,87.6,92.0,80.0,100,79.9
2026-04-17,11027,48,534.1093070141105,61.60908237106225,75.93920225590539,7.321210790019161,2.2979814279282973,96.7,100.0,94.0,100,92.7
2026-04-18,12496,18,215.90037748680322,62.963363189628794,75.54176614709301,8.428518664974542,1.9314071539507442,86.8,56.0,100.0,100,100.0
2026-04-19,6809,38,277.85077645630054,53.60083150200726,71.24953489994009,7.22850137059918,1.689639314966106,81.7,77.0,100.0,85,58.1
2026-04-20,15520,65,378.7148112719928,57.143002117372205,61.82747546113619,7.05395314116985,2.1248058868497983,95.8,92.0,94.0,100,100.0
2026-04-21,10788,57,421.21607856551526,57.504644625224685,63.32753533357939,7.930491476486722,2.744454693568639,94.0,92.0,94.0,100,90.9
2026-04-22,11554,46,420.0174530091044,47.13809300775318,64.94858699683844,7.575929227259067,2.148257006798552,90.9,92.0,100.0,70,96.7
2026-04-23,12782,54,265.7472515439149,48.87286038525514,78.50394420121034,8.788012501090984,1.096379546525746,86.2,86.0,88.0,70,100.0
2026-04-24,8882,43,369.7471212701888,59.7793991402229,60.18498170087877,8.858518914682032,2.156218849902143,90.2,83.0,100.0,100,76.6
