日期,星期,起床时间,入睡时间,睡眠时长,运动类型,运动时长,运动强度,早餐质量,午餐质量,晚餐质量,外卖次数,酒精摄入,咖啡因杯数,冥想时长分钟,压力评分1-10,血压早收缩,血压早舒张,血压晚收缩,血压晚舒张,体重kg,备注,每日得分
2026-05-01,五,,,,,,,,,,,,,,,,,,,,,
2026-05-02,六,,,,,,,,,,,,,,,,,,,,,
2026-05-03,日,,,,,,,,,,,,,,,,,,,,,
2026-05-04,一,,,,,,,,,,,,,,,,,,,,,
2026-05-05,二,,,,,,,,,,,,,,,,,,,,,
2026-05-06,三,,,,,,,,,,,,,,,,,,,,,
2026-05-07,四,,,,,,,,,,,,,,,,,,,,,
2026-05-08,五,,,,,,,,,,,,,,,,,,,,,
2026-05-09,六,,,,,,,,,,,,,,,,,,,,,
2026-05-10,日,,,,,,,,,,,,,,,,,,,,,
2026-05-11,一,,,,,,,,,,,,,,,,,,,,,
2026-05-12,二,,,,,,,,,,,,,,,,,,,,,
2026-05-13,三,,,,,,,,,,,,,,,,,,,,,
2026-05-14,四,,,,,,,,,,,,,,,,,,,,,
2026-05-15,五,,,,,,,,,,,,,,,,,,,,,
2026-05-16,六,,,,,,,,,,,,,,,,,,,,,
2026-05-17,日,,,,,,,,,,,,,,,,,,,,,
2026-05-18,一,,,,,,,,,,,,,,,,,,,,,
2026-05-19,二,,,,,,,,,,,,,,,,,,,,,
2026-05-20,三,,,,,,,,,,,,,,,,,,,,,
2026-05-21,四,,,,,,,,,,,,,,,,,,,,,
2026-05-22,五,,,,,,,,,,,,,,,,,,,,,
2026-05-23,六,,,,,,,,,,,,,,,,,,,,,
2026-05-24,日,,,,,,,,,,,,,,,,,,,,,
2026-05-25,一,,,,,,,,,,,,,,,,,,,,,
2026-05-26,二,,,,,,,,,,,,,,,,,,,,,
2026-05-27,三,,,,,,,,,,,,,,,,,,,,,
2026-05-28,四,,,,,,,,,,,,,,,,,,,,,
2026-05-29,五,,,,,,,,,,,,,,,,,,,,,
2026-05-30,六,,,,,,,,,,,,,,,,,,,,,
2026-05-31,日,,,,,,,,,,,,,,,,,,,,,
