年份,全球市场规模(亿美元),中国市场规模(亿元),全球增长率(%),中国增长率(%),Sheet,企业,2025年收入,收入同比,净利润,现金储备,员工人数,ARPU,状态,模式类型,代表企业,收入模式,客单价范围,盈利周期,技术壁垒,可复制性,天花板,典型ARR增速,里程碑,典型特征,平均耗时(年),ARR区间,晶泰耗时,英矽耗时,深势耗时,核心任务,成功要素,权重,关键指标,晶泰评分,英矽评分,深势评分,和光目标值,差距分析,行动领域,具体行动,时间周期,预算(万元),关键里程碑,负责人,成功衡量指标,风险类别,具体风险,发生概率,影响程度,风险等级,应对策略,责任人,监控频率
2023,21.5,45.0,,,市场规模预测,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,30.2,68.0,40.5,51.1,市场规模预测,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025E,45.38,128.0,50.3,88.2,市场规模预测,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026E,62.5,195.0,37.7,52.3,市场规模预测,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2027E,85.0,290.0,36.0,48.7,市场规模预测,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2028E,112.0,410.0,31.8,41.4,市场规模预测,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2029E,145.0,550.0,29.5,34.1,市场规模预测,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2030E,182.0,680.0,25.5,23.6,市场规模预测,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2031E,220.0,765.0,20.9,12.5,市场规模预测,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2032E,262.3,850.0,19.2,11.1,市场规模预测,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,标杆企业财务对比,晶泰控股,8.03亿元,+201.2%,1.35亿元,70.69亿元,~1500,~53万元,已盈利,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,标杆企业财务对比,英矽智能,5624万美元,+45%,-1.2亿美元,3.93亿美元,~800,~70万元,未盈利,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,标杆企业财务对比,Schrödinger,3.82亿美元,+35%,-1.12亿美元,8.75亿美元,~1200,~32万美元,未盈利,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,标杆企业财务对比,深势科技(估),~3亿元,+80%,-1.5亿元,~15亿元,~500,~60万元,未盈利,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,标杆企业财务对比,Recursion,2.1亿美元,+28%,-1.8亿美元,5.2亿美元,~450,~47万美元,未盈利,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,商业模式矩阵,,,,,,,,,AI+CRO服务,晶泰控股,服务费+里程碑+分成,50万-10亿元,7-8年,★★★★★,★★★☆☆,★★★★★,100-200%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,商业模式矩阵,,,,,,,,,AI+Biotech管线,英矽智能,软件+里程碑+分成,10万-27.5亿美元,10年+,★★★★☆,★★☆☆☆,★★★★★,30-50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,商业模式矩阵,,,,,,,,,Science-as-a-Service,深势科技,订阅+解决方案,10万-1000万,8-10年,★★★★★,★★★★☆,★★★★★,50-80%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
