AI4S标杆企业财务与商业模式对标数据
数据日期:2026年4月26日
数据来源:公司年报、财报、公开报道、券商研报

===表1:全球AI4S主要企业财务数据对比===
公司名称,成立年份,上市状态,2025年总收入,2025年软件收入,2025年药物/合作收入,2025年同比增速,软件毛利率,净利润状态,现金储备,估值/市值
Schrödinger(薛定谔),1990,纳斯达克SDGR,255.87,199.50,56.37,23%,74-75%,亏损收窄,充足,~30亿美元
Recursion Pharmaceuticals,2013,纳斯达克RXRX,74.70,N/A,N/A,N/A,N/A,亏损扩大, runway到2028,~15亿美元
晶泰科技(XtalPi),2015,港交所2228.HK,803.00,538.00(药物发现),N/A,201.20%,N/A,首次盈利,充足,~150亿港元
深势科技,2018,未上市C轮,N/A,N/A,N/A,N/A,N/A,未盈利,融资超8亿,~50亿人民币
Insilico Medicine,2014,未上市D轮,N/A,N/A,N/A,N/A,N/A,未盈利,融资累计~4亿美元,N/A
CuspAI,2019,未上市,N/A,N/A,N/A,N/A,N/A,未盈利,融资~1亿美元,~10亿美元
Isomorphic Labs(DeepMind旗下),2021,未上市,N/A,N/A,N/A,N/A,N/A,未盈利,未披露,未披露

===表2:四大商业模式特性对比===
模式类型,代表企业,收入特性,毛利率区间,风险等级,资本效率,达到$10M ARR所需时间,ARR稳定性
软件SaaS,薛定谔,深势科技,稳定可预测,高留存,70-85%,低,极高,3-5年,★★★★★
研发服务(CRO),晶泰科技(早期),项目制现金流好,40-60%,中,高,2-4年,★★★★
联合开发,晶泰科技(当前),薛定谔,首付款+里程碑+销售分成,80%+,中高,中高,5-7年,★★★
自研管线(Biotech),Recursion,Insilico,前期零收入后期爆发,N/A,极高,极低,8-12年,★

===表3:从0到千万美元ARR里程碑时间表===
里程碑阶段,ARR区间,典型耗时,关键成功信号,核心战略任务
1. PMF验证期,$0M-$2M,18-24个月,前10个客户7个续约,打磨核心产品找到首个可重复收入场景
2. 规模化验证期,$2M-$10M,12-18个月,销售团队可重复获客客单价稳定,建立可扩展销售体系完善客户成功
3. 平台生态期,$10M+,持续推进,客户购买多产品线产生网络效应,从工具提供商转型为平台建立行业标准

===表4:晶泰科技收入增长历史数据===
年份,总营收(百万元),药物发现收入(百万元),智能自动化收入(百万元),同比增速,关键事件
2021,N/A,N/A,N/A,N/A,AI制药概念爆发
2022,N/A,N/A,N/A,N/A,业务快速扩张
2023,174,87.7,86.7,N/A,递表港交所
2024,266,N/A,N/A,53%,港交所上市取消P标记
2025,803,538,N/A,201%,首次盈利与DoveTree签60亿美元大单
2026E,1500,N/A,N/A,~87%,预计持续高增长
2027E,2500,N/A,N/A,~67%,预计扭亏为盈持续

===表5:Schrödinger收入结构历史数据===
年份,总收入(M USD),软件收入(M USD),药物发现收入(M USD),软件收入占比,总收入增速
2023,216.67,159.12,57.55,73%,N/A
2024,207.54,180.37,27.17,87%,-4.2%
2025,255.87,199.50,56.37,78%,+23%
2026E,290,225,65,78%,+13%
2027E,330,255,75,77%,+14%
2028E,396.6,295,101.6,74%,+20%

===表6:和光智成财务预测模型(基准情景)===
项目,第1年(万元),第2年(万元),第3年(万元),第4年(万元),关键假设
总营收,1500,6000,18000,45000,年均增速~150%
SaaS收入占比,80%,70%,60%,50%,逐步向高价值合作转型
服务合作收入占比,20%,30%,40%,50%,里程碑分成逐步体现
毛利率,65%,70%,75%,78%,规模效应逐步体现
研发费用率,60%,45%,35%,30%,研发强度逐步下降
销售费用率,50%,40%,30%,25%,品牌建立后获客成本下降
管理费用率,30%,20%,15%,12%,规模效应
净利润率,-75%,-35%,-5%,+11%,第4年实现盈利
现金消耗,1800,2100,900,净盈利,需确保至少3年现金储备
付费客户数,30,120,300,600,平均客单价逐步提升
员工人数,35,80,150,250,人均产出持续提升

===表7:中国AI4S主要企业列表===
公司名称,成立时间,融资轮次,核心赛道,2025年关键进展,投资方代表
晶泰科技,2015,上市2228.HK,AI制药+材料,营收8.03亿首次盈利,腾讯红杉五源谷歌
深势科技,2018,C轮超8亿元,科学计算平台,服务300万科学家,达晨京国瑞联想创投
英矽智能,2014,D轮,AI制药,管线进入临床,淡马锡启明等
剂泰医药,2019,C轮1亿美元,AI药物递送,累计融资近3亿美元,中金资本
百图生科,2020,战略投资,生命科学大模型,获HKMA战略投资,李彦宏香港投资管理

===表8:关键成功要素权重分析===
成功要素,重要性权重,晶泰科技得分,薛定谔得分,Recursion得分,和光智成目标得分
技术路线:物理+AI,25%,90,95,70,90
数据飞轮闭环构建,25%,95,85,80,90
商业化团队能力,20%,85,90,75,85
灯塔客户品牌效应,15%,90,95,80,85
融资节奏资本管理,15%,85,85,60,80
综合总分,100%,89.5,90,73.5,87.5

===表9:行业增长预测对比===
机构名称,预测年份,市场规模(亿美元),年复合增长率CAGR
Grand View Research,2030,110,29.6%
Mordor Intelligence,2031,102.9,25.9%
MarketsandMarkets,2029,68.9,29.9%
国金证券中国市场,2030,500亿元人民币,35%+
东吴证券中国市场,2030,450亿元人民币,32%+

数据编制说明:
1. 所有财务数据均来自公开披露的公司财报、年报及权威券商研报
2. 汇率换算:1美元=7.2人民币用于跨境对比
3. 和光智成预测为基准情景假设实际结果可能因执行情况上下浮动20%
4. 市场规模预测为多家机构平均值仅供参考

数据更新日期:2026-04-26
报告编制:和光智成战略研究部
