序号,项目名称,融资轮次,融资金额(万元),投后估值(亿元),融资时间,投资方向,领投机构,跟投机构,团队背景,技术成熟度(1-5),市场规模(亿元),商业模式,技术壁垒(1-5),评级
1,深材智算,天使轮,1500,1.5,2026-01,AI+计算材料设计,线性资本,奇绩创坛,清华材料科学博士+AI算法团队,3,500,SaaS订阅+定制研发,4,A
2,碳元新材,天使轮,2000,1.8,2026-01,碳纳米管/石墨烯复合材料,真格基金,中科创星,中科院化学所教授创业,4,800,材料销售+技术授权,5,A+
3,智药分子,天使轮,1200,1.2,2026-02,AI计算药物设计与筛选,创新工场,红杉种子,MIT计算化学博士+药企高管,3,1200,CRO服务+IP授权,4,A
4,生材科技,天使轮,1000,1.0,2026-02,合成生物学新材料,奇绩创坛,IDG资本,北大合成生物学实验室,3,300,原料销售+联合开发,3,B+
5,纳晶光电,天使轮,1800,1.6,2026-02,量子点纳米材料显示应用,高榕资本,线性资本,中科大纳米材料博士,4,600,材料销售+定制方案,4,A
6,模材云图,天使轮,800,0.8,2026-03,AI材料数据库与预测平台,线性资本,天使湾创投,浙大材料信息学团队,2,200,SaaS订阅+数据服务,3,B
7,绿纤合成,天使轮,1500,1.3,2026-03,合成生物基纤维材料,真格基金,源码资本,东华大学纺织博士创业,3,400,材料销售+技术授权,3,B+
8,氢储新材,天使轮,2500,2.0,2026-03,固态氢存储纳米材料,中科创星,高瓴种子,中科院大连化物所团队,4,1000,材料销售+专利授权,5,A+
9,聚智材科,天使轮,1000,1.0,2026-04,AI高分子材料逆向设计,创新工场,线性资本,上交大高分子博士+AI团队,3,350,SaaS+定制研发,4,A
10,碳捕集科技,天使轮,1200,1.1,2026-04,MXene碳捕集材料,线性资本,红杉种子,MIT材料科学博士后,3,800,设备销售+运营分成,4,A
11,智肽生物,天使轮,1500,1.4,2026-04,AI蛋白质工程与生物材料,奇绩创坛,高榕资本,清华生物信息学博士创业,3,500,CRO+产品销售,4,A
12,超导智材,天使轮,2000,1.8,2026-05,AI辅助超导材料发现,高瓴种子,中科创星,中科院物理所团队,4,1500,技术授权+联合研发,5,A+
13,柔性电子科技,天使轮,1300,1.2,2026-05,AI设计柔性电子材料,真格基金,线性资本,斯坦福材料科学博士,3,700,材料销售+解决方案,4,A
14,催化云智,天使单轮,1000,0.9,2026-05,AI催化剂设计与筛选,创新工场,IDG资本,大连化物所催化团队创业,3,600,SaaS+技术服务,3,B+
15,晶格智能,天使轮,1600,1.5,2026-06,AI+晶体结构预测与材料发现,奇绩创坛,线性资本,北航材料科学与AI交叉团队,4,900,SaaS+定制研发+技术授权,5,A+
16,纳米纤维医疗,天使轮,1100,1.0,2026-06,静电纺丝纳米纤维医用材料,源码资本,高榕资本,清华医学工程博士创业,3,300,产品销售+定制开发,3,B+
17,光热智材,天使轮,1400,1.3,2026-06,AI光热转换纳米材料,中科创星,真格基金,中科院苏州纳米所团队,4,450,材料销售+技术授权,4,A
