公司名称,国家/地区,成立时间,最新轮次,融资总额,估值(亿美元),估值(亿人民币),PS倍数,核心领域,技术特点,客户类型
Insitro,美国,2018,C轮,$643M,28,196,80-100x,AI药物发现,机器学习+自动化实验,制药公司
Recursion,美国,2013,IPO,$465M,12,84,25-35x,AI生物实验,高通量实验+AI分析,生物技术公司
Exscientia,英国,2012,IPO,$350M,8,56,20-30x,AI药物设计,AI驱动化合物设计,制药公司
Schrödinger,美国,1990,IPO,$200M+,15,105,15-25x,分子模拟平台,物理模拟+AI,制药/材料公司
Citrine Informatics,美国,2013,B轮,$38M,2,14,10-15x,AI材料研发,材料数据平台,制造业
Kebotix,美国,2017,A轮,$15M,0.8,5.6,8-12x,AI化学合成,机器人+AI合成,化工企业
晶泰科技(XtalPi),中国深圳,2015,IPO,$7.6亿,28,200,50-70x,AI药物晶型,量子物理+AI,顶级药企
深势科技(DP Tech),中国北京,2018,B轮,数亿人民币,11,80,40-60x,AI分子模拟,深度学习+物理,新能源/材料
百图生科(BioMap),中国北京,2020,A轮,上亿美元,7,50,30-50x,AI蛋白质设计,大模型+生物计算,生物制药
剂泰医药,中国杭州,2020,A+轮,数亿人民币,3.5,25,20-35x,AI制剂研发,AI+药物递送,制药公司
