序号,证据线,证据名称,证据类型,当前状态,完整性评估,关键证明目的,缺口/风险,补强建议,优先级
1,证据线1-公司治理与管理责任,深原科创第二次董事会决议[00015],公司决议,已掌握,较完整,证明刘锐任职及职责边界,缺少后续履职监督记录,补充任命后工作分工及考核沟通,高
2,证据线1-公司治理与管理责任,深云董事会决议-包头政府签订合作协议[00162],公司决议,已掌握,完整,证明项目系公司决策并非个人行为,需与实际履约串联,与履约文件做时间轴对应,高
3,证据线1-公司治理与管理责任,深云董事会决议-成立包头子公司[00169],公司决议,已掌握,完整,证明项目组织架构安排,需补充设立后实际运营证据,补充子公司运营台账/印章流转,中
4,证据线1-公司治理与管理责任,表决事项决议-包头协议解除及转股[00197],公司决议,已掌握,较完整,证明公司对风险处置与决策,需补充解除背景材料,补充解除原因说明和会议材料,中
5,证据线1-公司治理与管理责任,印章证照管理标准[00409],制度文件,已掌握,关键但不足,证明公司采取管理措施,仅有制度文本不足以证明实际执行,补充培训签到/执行通知/交接单,高
6,证据线1-公司治理与管理责任,公章管理微信沟通记录,电子数据,缺失,关键缺口,证明公司多次要求规范管理及刘锐不配合,目前缺失原始载体和公证,导出原始聊天并办理公证/时间戳保全,最高
7,证据线1-公司治理与管理责任,索要公章工作沟通记录,电子数据,缺失,关键缺口,证明公司持续催要公章,若无原始记录易被否认,补充完整聊天上下文及发送方身份信息,最高
8,证据线2-合同与履约基础,包头市九原区政府合作协议签定版[00163],合同,已掌握,完整,证明合同关系与双方义务,需定位付款条款与验收条款,在报告中单独摘录关键条款,最高
9,证据线2-合同与履约基础,合作协议履行整改函[01483],往来函件,已掌握,较完整,证明对方主张及争议点,需核验送达及签收,补充送达凭证/邮件/快递记录,高
10,证据线2-合同与履约基础,关于整改函之回函[01633],往来函件,已掌握,较完整,证明我方反驳与催款立场,需核验送达与附件,补充送达回执和发函底稿,高
11,证据线2-项目成果交付,20231221物流园包头实验室项目[00012],项目汇报,已掌握,较完整,证明项目推进与成果形成,若无第三方签收则证明力一般,补充汇报对象及反馈记录,高
12,证据线2-项目成果交付,包头资料清单[00050],项目管理文件,已掌握,一般,证明有材料整理和交付准备,单独证明力有限,与交付清单和邮件发送记录配套使用,中
13,证据线2-项目成果交付,包头事项清单[00206],项目管理文件,已掌握,一般,证明项目管理过程,缺乏对方确认,补充责任人和完成情况标注,中
14,证据线2-项目成果交付,包头九原区会议纪要[00244],会议纪要,已掌握,较完整,证明双方持续对接和项目事项,需核实签发主体和时间,补充会议通知/参会签到/照片,高
15,证据线2-项目成果交付,1150万元资金使用情况补充清单[00791],财务说明,已掌握,关键但待佐证,证明项目资金投入方向,缺少原始报销/付款链条,补充银行流水发票合同付款审批单,最高
16,证据线2-项目成果交付,重点实验室申报文件,评审文件,已掌握,较完整,证明成果被用于正式申报,缺少正式评审结论,补充评审意见/立项结论/专家签字页,高
17,证据线2-项目成果交付,实验室布局图10份,设计图纸,已掌握,较完整,证明设计成果已形成,需避免被质疑为内部草稿,补充版本说明和提交对象,中
18,证据线2-项目成果交付,实验室改造文件5份,工程文件,已掌握,较完整,证明实施/改造工作存在,需补充现场施工、验收和付款记录,补充照片、施工单、验收单,高
19,证据线2-项目成果交付,项目观摩验收签字文件,验收文件,缺失,重大缺口,证明项目成果已被对方验收认可,缺失将削弱交付完成论证,优先向九原区/法院调查调取,最高
20,证据线2-项目成果交付,重点实验室正式评审报告或结论,评审结论,缺失,重大缺口,证明成果通过权威评审,目前仅有申报材料,向北航/评审机构申请出具证明,最高
21,证据线2-项目成果交付,2024-2025催款函原件及送达凭证,函件/送达,部分缺失,关键缺口,证明我方曾主张付款,送达不明将削弱违约主张,补充快递回执/邮件头/签收截图,最高
22,证据线3-关联关系与资金流,关于3000万资金到账情况说明[00085],说明文件,已掌握,较关键,证明资金流向异常线索,需与银行流水闭环,补充对应账户流水和记账凭证,最高
23,证据线3-关联关系与资金流,3000万银行回单[00169],银行凭证,已掌握,关键但不足,证明资金到账节点,单一回单不足以证明最终流向,调取完整流水和对手方账户信息,最高
24,证据线3-关联关系与资金流,深原科创股东会股权转让及增加九原区董事[00103],股权文件,已掌握,关键,证明九原区进入治理结构,需结合任命/履职/利益安排,补充董事任命通知和会议记录,高
25,证据线3-关联关系与资金流,1月9日投资款转换协议或沟通记录,协议/电子数据,缺失,重大缺口,证明资金性质转换与流程异常,若无则关联论证较弱,申请法院调查令并检索微信/邮件,最高
26,证据线3-关联关系与资金流,完整资金流向记录,银行流水,缺失,重大缺口,证明资金未按约进入北京深云智合或被绕转,是形成闭环的核心证据,尽快通过银行流水和财务账套补齐,最高
27,通用-主体资格,深云智合/硅研新材工商档案,工商档案,待补充,关键,证明主体关系、法定代表人、股权结构与变更,目前清单未见完整工商档案,调取企业信用报告和工商内档,高
28,通用-电子证据保全,邮件/微信/网盘/服务器日志原始载体,电子数据,待系统整理,重大风险,证明接触、传输、交付和使用过程,电子证据易灭失,统一镜像备份并公证/哈希固化,最高
29,通用-第三方佐证,参会签到/现场照片/施工照片/快递面单,第三方客观证据,部分散落,较弱,提升真实性与外部印证,尚未形成系统归集,按时间轴集中归档,中
30,通用-商业秘密三要件,保密协议/权限清单/密级标识/培训记录,制度与执行证据,部分已有,明显不足,满足最新商业秘密案件对保密性证明要求,仅有制度无执行证据不足,补强NDA、权限日志、培训签到,最高
