ligand_name,ligand_type,denticity,temperature,solvent,ligand_class,MW,LogP,TPSA,NumHDonors,NumHAcceptors,NumRotatableBonds,NumRings,P_atoms,O_atoms,HeavyAtoms,predicted_selectivity
diphosphite_2-tBu_T100_hexane,diphosphite,2,100,hexane,diphosphite,662,8.0,56.0,0,6,10,6,2,6,50,84.38390257463074
diphosphite_2-iPr_T100_hexane,diphosphite,2,100,hexane,diphosphite,648,8.0,56.0,0,6,10,6,2,6,49,84.38390257463074
diphosphite_2-Cl_T100_hexane,diphosphite,2,100,hexane,diphosphite,620,8.0,56.0,0,6,9,6,2,6,47,84.34635838060434
diphosphite_2-F_T100_hexane,diphosphite,2,100,hexane,diphosphite,634,8.0,56.0,0,6,9,6,2,6,48,84.34635838060434
diphosphite_2-H_T100_hexane,diphosphite,2,100,hexane,diphosphite,676,8.0,56.0,0,6,9,6,2,6,52,84.34635838060434
diphosphite_2-Me_T100_hexane,diphosphite,2,100,hexane,diphosphite,676,9.0,56.0,0,6,9,6,2,6,52,84.26801568568925
diphosphite_2-OMe_T100_hexane,diphosphite,2,100,hexane,diphosphite,704,9.0,56.0,0,6,9,6,2,6,54,84.26801568568925
diphosphite_2-F_T100_xylene,diphosphite,2,100,xylene,diphosphite,648,8.0,56.0,0,6,9,6,2,6,49,83.52811582136276
diphosphite_2-Cl_T100_xylene,diphosphite,2,100,xylene,diphosphite,648,8.0,56.0,0,6,9,6,2,6,49,83.52811582136276
diphosphite_2-H_T100_xylene,diphosphite,2,100,xylene,diphosphite,648,8.0,56.0,0,6,9,6,2,6,49,83.52811582136276
diphosphite_2-iPr_T100_xylene,diphosphite,2,100,xylene,diphosphite,620,8.0,56.0,0,6,10,6,2,6,47,83.52423435730707
diphosphite_2-tBu_T100_xylene,diphosphite,2,100,xylene,diphosphite,662,8.0,56.0,0,6,10,6,2,6,50,83.52423435730707
diphosphite_2-OMe_T100_xylene,diphosphite,2,100,xylene,diphosphite,676,9.0,56.0,0,6,9,6,2,6,52,83.42061766467604
diphosphite_2-Me_T100_xylene,diphosphite,2,100,xylene,diphosphite,690,9.0,56.0,0,6,9,6,2,6,53,83.42061766467604
diphosphite_2-F_T100_benzene,diphosphite,2,100,benzene,diphosphite,662,8.0,56.0,0,6,9,6,2,6,50,82.87846084940155
diphosphite_2-H_T100_benzene,diphosphite,2,100,benzene,diphosphite,676,8.0,56.0,0,6,9,6,2,6,52,82.87846084940155
diphosphite_2-Cl_T100_benzene,diphosphite,2,100,benzene,diphosphite,662,8.0,56.0,0,6,9,6,2,6,50,82.87846084940155
diphosphite_2-tBu_T100_benzene,diphosphite,2,100,benzene,diphosphite,648,8.0,56.0,0,6,10,6,2,6,49,82.85549028788972
diphosphite_2-iPr_T100_benzene,diphosphite,2,100,benzene,diphosphite,662,8.0,56.0,0,6,10,6,2,6,50,82.85549028788972
diphosphite_2-OMe_T100_benzene,diphosphite,2,100,benzene,diphosphite,662,9.0,56.0,0,6,9,6,2,6,50,82.81798372794638
diphosphite_2-Me_T100_benzene,diphosphite,2,100,benzene,diphosphite,718,9.0,56.0,0,6,9,6,2,6,55,82.81798372794638
diphosphite_2-iPr_T100_toluene,diphosphite,2,100,toluene,diphosphite,662,8.0,56.0,0,6,10,6,2,6,50,81.42224062095579
diphosphite_2-tBu_T100_toluene,diphosphite,2,100,toluene,diphosphite,662,8.0,56.0,0,6,10,6,2,6,50,81.42224062095579
diphosphite_2-Cl_T100_toluene,diphosphite,2,100,toluene,diphosphite,676,8.0,56.0,0,6,9,6,2,6,52,81.3503967161415
diphosphite_2-H_T100_toluene,diphosphite,2,100,toluene,diphosphite,634,8.0,56.0,0,6,9,6,2,6,48,81.3503967161415
diphosphite_2-F_T100_toluene,diphosphite,2,100,toluene,diphosphite,676,8.0,56.0,0,6,9,6,2,6,52,81.3503967161415
diphosphite_2-Me_T100_toluene,diphosphite,2,100,toluene,diphosphite,718,9.0,56.0,0,6,9,6,2,6,55,81.28991959468634
diphosphite_2-OMe_T100_toluene,diphosphite,2,100,toluene,diphosphite,718,9.0,56.0,0,6,9,6,2,6,55,81.28991959468634
diphosphite_2-H_T100_dioxane,diphosphite,2,100,dioxane,diphosphite,662,8.0,56.0,0,6,9,6,2,6,50,79.63621310858468
diphosphite_2-Cl_T100_dioxane,diphosphite,2,100,dioxane,diphosphite,648,8.0,56.0,0,6,9,6,2,6,49,79.63621310858468
diphosphite_2-F_T100_dioxane,diphosphite,2,100,dioxane,diphosphite,676,8.0,56.0,0,6,9,6,2,6,52,79.63621310858468
diphosphite_2-iPr_T100_dioxane,diphosphite,2,100,dioxane,diphosphite,634,8.0,56.0,0,6,10,6,2,6,48,79.56122154748374
diphosphite_2-tBu_T100_dioxane,diphosphite,2,100,dioxane,diphosphite,676,8.0,56.0,0,6,10,6,2,6,52,79.56122154748374
diphosphite_2-OMe_T100_dioxane,diphosphite,2,100,dioxane,diphosphite,718,9.0,56.0,0,6,9,6,2,6,55,79.50870569405194
diphosphite_2-Me_T100_dioxane,diphosphite,2,100,dioxane,diphosphite,676,9.0,56.0,0,6,9,6,2,6,52,79.50870569405194
diphosphine_4-H_T100_hexane,diphosphine,2,100,hexane,diphosphine,426,7.5,13.0,0,0,9,6,2,0,32,77.86376504110778
diphosphine_4-CF3_T100_hexane,diphosphine,2,100,hexane,diphosphine,426,7.5,13.0,0,0,9,6,2,0,32,77.86376504110778
diphosphine_4-F_T100_hexane,diphosphine,2,100,hexane,diphosphine,426,7.5,13.0,0,0,9,6,2,0,32,77.86376504110778
phosphite_2-tBu_4-OMe_6-Me_T100_hexane,phosphite,1,100,hexane,phosphite,424,7.2,28.0,0,3,7,3,1,3,32,77.6146943880414
phosphite_2-tBu_4-Me_6-OMe_T100_hexane,phosphite,1,100,hexane,phosphite,424,7.2,28.0,0,3,7,3,1,3,32,77.6146943880414
phosphite_2-tBu_4-F_6-OMe_T100_hexane,phosphite,1,100,hexane,phosphite,428,6.7,28.0,0,3,7,3,1,3,32,77.40149209224603
diphosphite_2-Cl_T100_THF,diphosphite,2,100,THF,diphosphite,648,8.0,56.0,0,6,9,6,2,6,49,77.38223280227774
diphosphite_2-F_T100_THF,diphosphite,2,100,THF,diphosphite,662,8.0,56.0,0,6,9,6,2,6,50,77.38223280227774
diphosphite_2-H_T100_THF,diphosphite,2,100,THF,diphosphite,620,8.0,56.0,0,6,9,6,2,6,47,77.38223280227774
diphosphite_2-tBu_T100_THF,diphosphite,2,100,THF,diphosphite,620,8.0,56.0,0,6,10,6,2,6,47,77.35926224076591
diphosphite_2-iPr_T100_THF,diphosphite,2,100,THF,diphosphite,648,8.0,56.0,0,6,10,6,2,6,49,77.35926224076591
diphosphite_2-OMe_T100_THF,diphosphite,2,100,THF,diphosphite,676,9.0,56.0,0,6,9,6,2,6,52,77.32175568082258
diphosphite_2-Me_T100_THF,diphosphite,2,100,THF,diphosphite,704,9.0,56.0,0,6,9,6,2,6,54,77.32175568082258
phosphite_2-tBu_4-F_6-Me_T100_hexane,phosphite,1,100,hexane,phosphite,398,7.0,28.0,0,3,7,3,1,3,30,76.45972717336578
phosphite_2-iPr_4-H_6-OMe_T100_hexane,phosphite,1,100,hexane,phosphite,396,5.2,28.0,0,3,7,3,1,3,30,76.3856217523902
phosphite_2-iPr_4-OMe_6-H_T100_hexane,phosphite,1,100,hexane,phosphite,396,5.2,28.0,0,3,7,3,1,3,30,76.3856217523902
phosphite_2-tBu_4-Me_6-OMe_T100_xylene,phosphite,1,100,xylene,phosphite,424,7.2,28.0,0,3,7,3,1,3,32,76.22271388951648
phosphite_2-tBu_4-OMe_6-Me_T100_xylene,phosphite,1,100,xylene,phosphite,424,7.2,28.0,0,3,7,3,1,3,32,76.22271388951648
phosphite_2-tBu_4-OMe_6-H_T100_hexane,phosphite,1,100,hexane,phosphite,410,6.7,28.0,0,3,7,3,1,3,31,76.18339279485123
phosphite_2-tBu_4-H_6-OMe_T100_hexane,phosphite,1,100,hexane,phosphite,410,6.7,28.0,0,3,7,3,1,3,31,76.18339279485123
diphosphine_4-CF3_T100_xylene,diphosphine,2,100,xylene,diphosphine,426,7.5,13.0,0,0,9,6,2,0,32,76.15148908494906
diphosphine_4-F_T100_xylene,diphosphine,2,100,xylene,diphosphine,426,7.5,13.0,0,0,9,6,2,0,32,76.15148908494906
diphosphine_4-H_T100_xylene,diphosphine,2,100,xylene,diphosphine,426,7.5,13.0,0,0,9,6,2,0,32,76.15148908494906
phosphite_2-tBu_4-F_6-OMe_T100_xylene,phosphite,1,100,xylene,phosphite,428,6.7,28.0,0,3,7,3,1,3,32,76.05132696019162
phosphite_2-tBu_4-Me_6-OMe_T100_benzene,phosphite,1,100,benzene,phosphite,424,7.2,28.0,0,3,7,3,1,3,32,76.00400975209381
phosphite_2-tBu_4-OMe_6-Me_T100_benzene,phosphite,1,100,benzene,phosphite,424,7.2,28.0,0,3,7,3,1,3,32,76.00400975209381
phosphite_2-tBu_4-F_6-OMe_T100_benzene,phosphite,1,100,benzene,phosphite,428,6.7,28.0,0,3,7,3,1,3,32,75.89427345803128
diphosphine_4-H_T100_benzene,diphosphine,2,100,benzene,diphosphine,426,7.5,13.0,0,0,9,6,2,0,32,75.87465112148486
diphosphine_4-F_T100_benzene,diphosphine,2,100,benzene,diphosphine,426,7.5,13.0,0,0,9,6,2,0,32,75.87465112148486
diphosphine_4-CF3_T100_benzene,diphosphine,2,100,benzene,diphosphine,426,7.5,13.0,0,0,9,6,2,0,32,75.87465112148486
diphosphine_4-OMe_T100_hexane,diphosphine,2,100,hexane,diphosphine,566,8.3,13.0,0,0,9,6,2,0,43,75.78617072204594
diphosphine_4-Me_T100_hexane,diphosphine,2,100,hexane,diphosphine,496,8.3,13.0,0,0,9,6,2,0,38,75.78617072204594
phosphite_2-iPr_4-H_6-OMe_T100_xylene,phosphite,1,100,xylene,phosphite,396,5.2,28.0,0,3,7,3,1,3,30,75.77539187407676
phosphite_2-iPr_4-OMe_6-H_T100_xylene,phosphite,1,100,xylene,phosphite,396,5.2,28.0,0,3,7,3,1,3,30,75.77539187407676
phosphine_2-tBu_4-OMe_6-Me_T100_hexane,phosphine,1,100,hexane,phosphine,604,7.3,13.0,0,1,7,3,1,1,46,75.7658622940661
phosphine_2-tBu_4-Me_6-OMe_T100_hexane,phosphine,1,100,hexane,phosphine,604,7.3,13.0,0,1,7,3,1,1,46,75.7658622940661
phosphite_2-CF3_4-H_6-H_T100_hexane,phosphite,1,100,hexane,phosphite,396,5.0,28.0,0,3,6,3,1,3,30,75.76100869159374
phosphite_2-CF3_4-H_6-H_T100_xylene,phosphite,1,100,xylene,phosphite,396,5.0,28.0,0,3,6,3,1,3,30,75.47077699760469
phosphite_2-iPr_4-OMe_6-H_T100_benzene,phosphite,1,100,benzene,phosphite,396,5.2,28.0,0,3,7,3,1,3,30,75.4102185694924
phosphite_2-iPr_4-H_6-OMe_T100_benzene,phosphite,1,100,benzene,phosphite,396,5.2,28.0,0,3,7,3,1,3,30,75.4102185694924
phosphine_2-tBu_4-Me_6-Me_T100_hexane,phosphine,1,100,hexane,phosphine,514,7.5,13.0,0,0,7,3,1,0,39,75.38790849301915
phosphine_2-tBu_4-F_6-Me_T100_xylene,phosphine,1,100,xylene,phosphine,526,6.8999999999999995,13.0,0,0,7,3,1,0,40,75.38244769403957
phosphine_2-tBu_4-Me_6-F_T100_xylene,phosphine,1,100,xylene,phosphine,526,6.8999999999999995,13.0,0,0,7,3,1,0,40,75.38244769403957
phosphine_2-tBu_4-Me_6-Cl_T100_xylene,phosphine,1,100,xylene,phosphine,574,6.8999999999999995,13.0,0,0,7,3,1,0,44,75.38244769403957
phosphite_2-tBu_4-F_6-Me_T100_xylene,phosphite,1,100,xylene,phosphite,398,7.0,28.0,0,3,7,3,1,3,30,75.35176298140627
phosphine_2-tBu_4-OMe_6-OMe_T100_hexane,phosphine,1,100,hexane,phosphine,694,7.1,13.0,0,2,7,3,1,2,53,75.29983057177772
phosphine_2-tBu_4-OMe_6-OMe_T100_xylene,phosphine,1,100,xylene,phosphine,694,7.1,13.0,0,2,7,3,1,2,53,75.24832282885868
phosphine_2-tBu_4-Me_6-F_T100_hexane,phosphine,1,100,hexane,phosphine,526,6.8999999999999995,13.0,0,0,7,3,1,0,40,75.24316945507876
phosphine_2-tBu_4-Me_6-Cl_T100_hexane,phosphine,1,100,hexane,phosphine,574,6.8999999999999995,13.0,0,0,7,3,1,0,44,75.24316945507876
phosphine_2-tBu_4-F_6-Me_T100_hexane,phosphine,1,100,hexane,phosphine,526,6.8999999999999995,13.0,0,0,7,3,1,0,40,75.24316945507876
phosphite_2-tBu_4-OMe_6-H_T100_xylene,phosphite,1,100,xylene,phosphite,410,6.7,28.0,0,3,7,3,1,3,31,74.91027410378545
phosphite_2-tBu_4-H_6-OMe_T100_xylene,phosphite,1,100,xylene,phosphite,410,6.7,28.0,0,3,7,3,1,3,31,74.91027410378545
phosphite_2-tBu_4-Me_6-OMe_T100_toluene,phosphite,1,100,toluene,phosphite,424,7.2,28.0,0,3,7,3,1,3,32,74.90350182029565
phosphite_2-tBu_4-OMe_6-Me_T100_toluene,phosphite,1,100,toluene,phosphite,424,7.2,28.0,0,3,7,3,1,3,32,74.90350182029565
diphosphine_4-OMe_T100_xylene,diphosphine,2,100,xylene,diphosphine,538,8.3,13.0,0,0,9,6,2,0,41,74.72265506913611
diphosphine_4-Me_T100_xylene,diphosphine,2,100,xylene,diphosphine,552,8.3,13.0,0,0,9,6,2,0,42,74.72265506913611
phosphite_2-tBu_4-F_6-OMe_T100_toluene,phosphite,1,100,toluene,phosphite,428,6.7,28.0,0,3,7,3,1,3,32,74.61897586264959
phosphite_2-Cl_4-OMe_6-OMe_T100_hexane,phosphite,1,100,hexane,phosphite,432,5.4,28.0,0,3,6,3,1,3,33,74.52309983513415
phosphite_2-tBu_4-H_6-OMe_T100_benzene,phosphite,1,100,benzene,phosphite,410,6.7,28.0,0,3,7,3,1,3,31,74.50592888476193
