公司,国家/地区,赛道,融资轮次,时间,金额/估值,投资方,核心技术,应用方向,壁垒评估,跟投观察
Periodic Labs,美国,AI+材料/化学,A轮/高估值信号,2025-2026行业信号,估值约70亿人民币（市场信号）,未披露/多家机构,基础模型驱动实验自动化与新材料发现平台,材料研发,高：数据+自动化闭环+团队,作为行业估值锚点，说明一级市场对AI for Science高弹性标的认可
Lila Sciences,美国,AI+科学平台,种子/早期,2024-2025持续推进,超大额早期融资（公开报道）,Flagship等,自主实验室+通用科学发现引擎,生物/材料/化学,高：平台化、资本密集、数据飞轮,偏平台型，适合观察其生态外溢机会
CuspAI,英国/欧盟,AI+材料,A轮前后,2024-2025,公开融资,Hoxton/Lightspeed系公开报道,生成式模型设计材料（碳捕集等）,气候材料,高：模型+湿实验验证,气候科技叙事强，具备后续跟投价值
Orbital Materials,英国,AI+材料,A轮前后,2024-2025,公开融资,Radical/大厂合作系,AI设计先进材料与电池/CCUS材料,能源材料,高：材料库+合作验证,与能源巨头合作是关键验证点
Aqemia,法国,AI+药物/化学,B轮前早期成长,2024-2025,公开融资,Wendel等,量子/物理启发算法+生成模型,药物发现,高：算法差异化明显,虽偏生物医药，但方法可迁移至分子设计
Isomorphic Labs,英国,AI+生命科学,战略轮/内部支持,2024-2026,Google/Alphabet体系支持,Alphabet,AlphaFold系平台到药物研发,生物,极高：算法/IP/生态,更多是行业标杆，不是天使机会
Cradle,荷兰,AI+蛋白设计,A轮前后,2024-2025,公开融资,Index/Kindred等,蛋白序列生成与优化,生物制造,高：湿实验反馈+客户嵌入,适合关注工业酶/合成生物场景延展
Profluent,美国,AI+蛋白/基因编辑,A轮前后,2024-2025,公开融资,Spark/Insight等,大模型设计蛋白与基因编辑工具,生物,高：专有实验数据,具平台潜力但监管路径较复杂
Basecamp Research,英国,AI+生物数据库,A轮前后,2024-2025,公开融资,Systemiq等,超大规模生物多样性数据库+基础模型,生物发现,高：稀缺数据源,数据壁垒强，值得重点跟踪
Bioptimus,法国,多模态生物基础模型,种子/A轮,2024-2025,公开融资,Sofinnova等,生物基础模型,生命科学,高：模型+产业资源,偏平台，适合联合投资观察
Genesis Therapeutics,美国,AI+药物,成长轮,2024-2025,公开融资,a16z/多家机构,图模型+分子模拟,药物,高：计算平台成熟,非天使阶段，但可作估值对标
Recursion,美国,AI+生物,上市后/成长,持续,二级市场参照,多家,表型组学+机器学习,药物,高：数据资产极强,作为一级市场退出参照
Exscientia,英国,AI+药物,上市后/成长,持续,二级市场参照,多家,AI药物发现平台,药物,中高,退出环境一般，提醒估值纪律
Insilico Medicine,中国/全球,AI+药物,成长轮,2024-2025,公开融资,启明等,生成式AI+药物发现,药物,高：技术品牌强,中国团队国际化能力强，可作方法论样板
